Ascotremella faginea
Astraeus hygrometricus
Auricularia auricula
Auriscalpium vulgare
Calbovista subsculpta
Calocera cornea
Calocera viscosa
Calvatia cyathiformis
Calvatia gigantea
Clavaria fumosa
Clavaria purpurea
Clavaria rosea
Clavaria vermicularis
Clavariadelphus ligula
Clavariadelphus pistillaris
Clavariadelphus sachalinensis
Clavariadelphus truncatus
Clavicorona pyxidata
Clavulina amethystina
Clavulina cinerea
Clavulina cristata
Clavulina ornatipes
Clavulina rugosa
Clavulinopsis corniculata
Clavulinopsis fusiformis
Crucibulum laeve
Cyathus olla
Cyathus stercoreus
Cyathus striatus
Dacrymyces chrysocomus
Dacrymyces palmatus
Dacryopinax spathularia
Dictyophora duplicata
Exidia alba
Exidia glandulosa
Geastrum fimbriatum
Geastrum pectinatum
Geastrum quadrifidum
Geastrum saccatum
Geastrum triplex
Guepinia helvelloides
Handkea excipuliformis
Hericium abietis
Hericium americanum
Hericium coralloides OR ramosum
Heterotextus alpinus
Lentaria byssiseda
Lycoperdon americanum
Lycoperdon candidum
Lycoperdon curtisii
Lycoperdon excipuliforme
Lycoperdon nigrescens
Lycoperdon perlatum
Lycoperdon pratense
Lycoperdon pusillum
Lycoperdon pyriforme
Lysurus cruciatus
Macrotyphula juncea
Morganella subincarnata
Mucronella bresadolae
Mucronella pendula
Multiclavula mucida
Mutinus elegans
Mutinus ravenelii
Myriostoma coliformis
Nidula niveo-tomentosa
Phallus ravenelii
Physalacria inflata
Pseudohydnum gelatinosum
Ramaria abietina
Ramaria araiospora
Ramaria aurea
Ramaria botrytis
Ramaria formosa
Ramaria rubella
Ramaria stricta
Ramariopsis crocea
Ramariopsis kunzei
Ramariopsis laeticolor
Scleroderma areolatum
Scleroderma aurantium
Scleroderma citrinum
Sparassis herbstii
Sphaerobolus stellatus
Syzygospora mycetophila
Tremella concrescens
Tremella foliacea
Tremella mesenterica
Tremella reticulata
Tremellodendron pallidum
Tremellodendropsis semivestitum
Tulostoma campestre
