Austroboletus gracilis
Boletellus chrysenteroides
Boletellus russellii
Boletus affinis var. Maculosus
Boletus badius
Boletus bicolor
Boletus edulis
Boletus flammans
Boletus mirabilis
Boletus ornatipes
Boletus pallidus
Boletus parasiticus
Boletus smithii
Boletus subglabripes
Boletus subtomentosus
Boletus subvelutipes
Boletus zelleri
Chalciporus piperatus
Gyrodon merulioides
Gyroporus cyanescens
Harrya chromapes
Leccinum atrostipitatum
Leccinum aurantiacum
Leccinum chromapes
Leccinum holopus
Leccinum insigne
Leccinum scabrum
Leccinum snellii
Phylloporus rhodoxanthus
Porphyrellus porphyrosporus
Pulveroboletus ravenelii
Retiboletus griseus
Strobilomyces strobilaceus
Suillus acidus
Suillus aeruginascens
Suillus americanus
Suillus brevipes
Suillus cavipes
Suillus granulatus
Suillus grevillei
Suillus luteus
Suillus paluster OR Fuscoboletinus paluster
Suillus placidus
Suillus salmonicolor
Suillus sinuspaulianus
Suillus spraguei
Suillus tomentosus
Suillus umbonatus
Suillus viscidus
Syzygospora mycetophila
Tylopilus eximius
Tylopilus felleus
Xerocomellus chrysenteron
