Acaulopage tetraceros
Albugo candida
Alternaria alternata
Amoebophilus simplex
Arthrobotrys conoides
Arthrobotrys flagrans
Arthrobotrys oligospora
Ascobolu entire
Aspergillus clavatus
Aspergillus fumigatus
Aspergillus niger
Aspergillus wentii
Ballocephala sphaerospora
Ballocephala verrucospora
Beauveria bassiana
Blumeria graminis
Botryosporium longibrachiatum
Botrytis cinerea
Brachymyces megasporus
Catenaria anguillulae
Ceratocystis fimbriata
Chondromyces apiculatus
Chondromyces crocatus
Cladosporium cladosporioides
Cladosporium sphaerospermum
Clonostachys rosea
Cochliobolus sativus
Cochlonema verrucosum
Colletotrichum graminicola
Cunninghamella echinulata
Curvularia lunata
Dactylella passalopaga
Dactylellina candida
Dactylellina copepodii
Dactyllelina candida
Drechmeria coniospora
Drechslerella anchonia
Drechslerella brochopaga
Drechslerellas dactyloides
Entomophthora muscae
Entomosporium mespili
Epichloe typhina
Erysiphe graminis
Eurotium chevalieri
Haptoglossa mirabilis
Haptospora appendiculata
Harposporium anguillulae
Harposporium spirosporum
Helicocephalum oligosporum
Helicodendron tubulosum
Lagenidium oviparasiticum
Medusamyces lunulosporus
Meria harposporioides
Myzocytiopsis humicola
Olpidium vermicola
Penicillium cyclopium
Penicillium digitatum
Penicillium italicum
Peniophorella praetermissum
Periconia macrospinosa
Phragmidium mucronata
Phycomyces blakesleeanus
Phytophthora infestans
Pilobolus crystallinus
Puccinia coronata
Puccinia graminis
Puccinia lagenophorae
Pythium caudatum
Rhizophydium pollonis
Rhizopus stolonifer
Rhopalomyces elegans
Rhytisma punctatum
Saccharomyces cereviseae
Sclerotinia sclerotiorum
Sordaria fimicola
Spinellus fusiger
Spirogyromyces vermicola
Staphylotrichum coccosporum
Stylopage hadra
Syncephalastrum racemosum
Syncephalis nodosa
Taphrina alni
Taphrina deformans
Tetracoccosporium paxianum
Thamnidium elegans
Thecothejus pelletieri
Triacutus subcuticularis
Trichurus spiralis
Typhula incarnata
Uncinula necator
Ustulina deusta
Varicosporium elodeae
Venturia inaequalis
Zoophagus insidians
