Abudefduf saxatilis
Acanthocybium solandri
Acanthopleura granulata
Acanthurus bahianus
Acanthurus chirurgus
Acanthurus coeruleus
Acetabularia crenulata
Acropora cervicornis
Acropora palmata
Acropora prolifera
Aetobatus narinari
Agaricia agaricites
Agaricia fragilis
Agaricia grahamae
Agaricia lamarcki
Agaricia undata
Agelas clathrodes
Agelas conifera
Agelas nsp.
Aiolochroia crassa
Aiptasia tagetes
Aka coralliphaga
Albula vulpes
Aluterus scriptus
Amphimedon viridis
Analcidometra armata
Anamobaea orstedii
Anilocra laticaudata
Anisotremus surinamensis
Antennarius multiocellatus
Anthosigmella varians
Antipathes gracilis
Antipathes lenta
Antipathes pennacea
Aplysia dactylomela
Aplysina archeri
Aplysina cauliformis
Aplysina fistularis
Aplysina fulva
Aplysina lacunosa
Apogon binotatus
Apogon lachneri
Apogon townsendi
Arachnanthus nocturnus
Astichopus multifidus
Astraea tecta
Astrangia solitaria
Astrophyton muricatum
Aulostomus maculatus
Avrainvillea nigricans
Axinyssa ambrosia
Balistes vetula
Bartholomea annulata
Bartholomea lucida
Biemna caribea
Bispira brunnea
Bispira variegata
Bodianus rufus
Bothus lunatus
Botrylloides spp.
Botryllus spp.
Briarium asbestinum
Calappa flammea
Calappa gallus
Calcinus tibicen
Callinectus sapidus
Callyspongia fallax
Callyspongia plicifera
Callyspongia vaginalis
Cantherhines macrocerus
Cantherhines pullus
Canthigaster rostrata
Caranx latus
Caranx lugubris
Caranx ruber
Carcharhinus perezi
Carpilius corallinus
Caryophyllia spp.
Cassiopea frondosa
Cassis flammea
Caulerpa cupressoides
Caulerpa racemosa
Caulerpa serrulata
Caulerpa sertularioides
Centropomus undecimalis
Centropyge argi
Cerithium litteratum
Chaetodon capistratus
Chaetodon ocellatus
Chaetodon striatus
Charonia variegata
Chelonia mydas
Chondrilla nucula
Chromis cyanea
Chromis multilineata
Cirrhipathes leutkeni
Cladocora arbuscula
Clathria raraechelae
Clavelina picta
Clepticus parrae
Cliona spp.
Clypeaster subdepressus
Colangia immersa
Colpophyllia natans
Condylactis gigantea
Coryphopterus lipernes
Cymatium aquatile
Cyphoma gibbosum
Dactylopterus volitans
Dasyatis americana
Davidaster discoidea
Davidaster rubiginosa
Dendrogyra cylindrus
Desmapsamma anchorata
Diadema antillarum
Dichocoenia stokesi
Dictyosphaeria cavernosa
Dictyota spp.
Didemnum conchyliatum
Diodon holocanthus
Diodon hystrix
Diploria clivosa
Diploria labyrinthiformis
Diploria strigosa
Discosoma sanctithomae
Dromidia antillensis
Dysidea etheria
Echidna catenata
Echinometra lucunter
Echinometra viridis
Ectyoplasia ferox
Elagatis bipinnulata
Ellisella barbadensis
Epinephelus adscensionis
Epinephelus cruentatus
Epinephelus fulvus
Epinephelus guttatus
Epinephelus itajara
Equetus punctatus
Eretmochelys imbriocota
Erythropodium polyanthes
Euapta lappa
Eucidaris tribuloides
Eunicea calyculata
Eunicea fusca
Eunicea tourneforti
Eupolymnia crassicornis
Eusmilia fastigiata
Favia fragum
Fistularia tabacaria
Galaxaura spp.
Gerres cinereus
Ginglymostoma cirratum
Gobiosoma evelynae
Gobiosoma horsti
Gonodactylus spp.
Gorgonia ventalina
Gramma loreto
Gymnothorax funebris
Gymnothorax miliaris
Gymnothorax moringa
Haemulon chrysargyreum
Haemulon flavolineatum
Haemulon parra
Haemulon sciurus
Halichoeres bivittatus
Halichoeres garnoti
Halichoeres radiatus
Haliclona vansoesti
Halimeda copiosa
Halimeda incrassata
Halimeda opuntia
Halisarca caerulea
Haplosyllis spongicola
Hemipteronotus splendens
Hermodice carunculata
Heteroconger halis
Hippocampus reidi
Hirundichthys speculiger
Holacanthus ciliaris
Holacanthus tricolor
Holocentrus ascensionis
Holothuria mexicana
Holothuria thomasi
Hypoplectrus puella
Hypoplectrus unicolor
Hyrtios proteus
Iotrochota birotulata
Ircinia campana
Ircinia felix
Ircinia strobilina
Isognomon alatus
Isognomon radiatus
Isophyllastrea rigida
Isophyllia sinuosa
Isostichopus badionotus
Jania spp.
Kyphosus sectatrix
Lactophrys bicaudalis
Lactophrys polygonius
Lactophrys triqueter
Laurencia papillosa
Laurencia poitei
Lebrunia coralligens
Lebrunia danae
Lepas anatifera
Leptogorgia virgulata
Leptoseris cucullata
Lima lima
Lima scabra
Liopropoma carmabi
Lithothamnion spp.
Lobophora variegata
Luria cinerea
Lutjanus analis
Lutjanus apodus
Lutjanus cyanopterus
Lutjanus griseus
Lutjanus mahogani
Lutjanus synagris
Lysmata grabhami
Lytechinus variegatus
Lytechinus williamsi
Madracis decactis
Madracis formosa
Madracis mirabilis
Malacanthus plumieri
Manicina areolata
Manta birostris
Meandrina meandrites
Megalops atlanticus
Melichthys niger
Mellita sexiesperforata
Meoma ventricosa
Microspathodon chrysurus
Millepora alcicornis
Millepora complanata
Millepora squarrosa
Mithrax pilosus
Mithrax spinosissimus
Monacanthus tuckeri
Monanchora arbuscula
Montastrea annularis
Montastrea cavernosa
Mulloidichthys martinicus
Muricea elongata
Muricea muricata
Muricea pinnata
Muriceopsis flavida
Mussa angulosa
Mycale laevis
Mycale laxissima
Mycetophyllia spp.
Mycteroperca rubra
Mycteroperca tigris
Myrichthys breviceps
Myripristis jacobus
Myrmekioderma gyroderma
Negaprion brevirostris
Nemaster grandis
Neofibularia nolitangere
Neoniphon marianus
Niphates erecta
Niphates recondita
Niveria pediculus
Octopus briareus
Octopus vulgaris
Oculina diffusa
Ocyurus chrysurus
Oliva reticularis
Ophichthus ophis
Ophioblennius atlanticus
Ophiocoma echinata
Ophioderma appressum
Ophioderma rubicundum
Ophionereis reticulata
Ophiothrix suensonii
Opistognathus aurifrons
Oreaster reticulatus
Padina sanctae-crucis
Paguristes cadenati
Paguristes erythrops
Palinurellus gundlachi
Palinurus argus
Palinurus guttatus
Palythoa caribaeorum
Palythoa grandis
Pandaros acanthifolium
Paranthias furcifer
Parazoanthus parasiticus
Parazoanthus puertoricense
Parazoanthus swiftii
Pelia mutica
Pempheris schomburgki
Penicillus capitatus
Periclimenes pedersoni
Periclimenes yucatanicus
Petrosia weinbergi
Peyssonnelia rubra
Phyllangia americana
Pinctada radiata
Pinna carnea
Plakortis angulospiculatus
Plexaura flexuosa
Plexaura homomalla
Plexaurella dichotoma
Plexaurella grisea
Plexaurella nutans
Pomacanthus paru
Pomatostegus stellatus
Porites astreoides
Porites branneri
Porites divaricata
Porites furcata
Porites porites
Porolithon pachydermum
Portunus sebae
Priacanthus cruentatus
Pseudaxinella reticulata
Pseudaxinella zeai
Pseudoceros pardalis
Pseudocorynactis caribbeorum
Pseudoplexaura flagellosa
Pseudoplexaura porosa
Pseudopterogorgia americana
Pseudopterogorgia bipinnata
Pseudopterogorgia spp.
Pseudupeneus maculatus
Pteria colymbus
Pterogorgia citrina
Pterogorgia guadalupensis
Ptilocaulis walpersi
Rhopalaea abdominalis
Rhynchocinetes rigens
Ricordea florida
Rypticus saponaceus
Sabellastarte magnifica
Sargassum spp.
Scarus coelestinus
Scarus coeruleus
Scarus guacamaia
Scarus iserti
Scarus taeniopterus
Scarus vetula
Scolymia spp.
Scopalina ruetzleri
Scorpaena plumieri
Scyllarides aequinoctialis
Selar crumenophtalmus
Sepioteuthis sepioidea
Serranus annularis
Serranus baldwini
Serranus tabacarius
Serranus tigrinus
Siderastrea radians
Siderastrea siderea
Solenastrea bournoni
Sparisoma aurofrenatum
Sparisoma viride
Spheciospongia vesparium
Sphyraena barracuda
Sphyrna lewini
Spirobranchus giganteus
Spondylus americanus
Stegastes fuscus
Stegastes planifrons
Stenopus hispidus
Stenorhynchus seticornis
Stephanocoenia michelinii
Stichodactyla helianthus
Strombus costatus
Strombus gigas
Strombus raninus
Stylaster roseus
Stypopodium zonale
Synodus intermedius
Synodus synodus
Tedania ignis
Tellina radiata
Telmatactis americana
Tethya spp.
Tetraclita stalactifera
Thalassia testudinum
Thalassoma bifasciatum
Thor amboinensis
Topsentia ophiraphidites
Tridachia crispata
Trididemnum solidum
