Acaulopage tetraceros
Agaricus bitorquis
Agaricus haemorrhoidarius
Agaricus placomyces
Agaricus sylvicola
Agrocybe molesta
Agrocybe vervacti
Albugo candida
Aleuria aurantia
Alternaria alternata
Amanita citrina
Amanita brunnescens
Amanita ceciliae
Amanita constricta
Amanita francheti
Amanita flavoconia
Amanita frostiana
Amanita fulva
Amanita muscaria
Amanita vaginata
Amanita virosa
Amanita wellsi
Amoebophilus simplex
Armillaria mellea
Armillaria limonea
Arthrobotrys conoides
Arthrobotrys flagrans
Arthrobotrys oligospora
Ascobolu entire
Ascocoryne sarcoides
Ascotremella faginea
Aspergillus clavatus
Aspergillus fumigatus
Aspergillus niger
Aspergillus wentii
Astraeus hygrometricus
Auricularia auricula
Auriscalpium vulgare
Baeospora myosura
Ballocephala sphaerospora
Ballocephala verrucospora
Beauveria bassiana
Blumeria graminis
Boletellus russellii
Boletus bicolor
Boletus chrysenteroides
Boletus edulis
Boletus mirabilis
Boletus ornatipes
Boletus pallidus
Boletus parasiticus
Boletus smithii
Boletus subvelutipes
Boletus zelleri
Bondarzewia berkeleyi
Botryosporium longibrachiatum
Botrytis cinerea
Brachymyces megasporus
Bulgaria inquinans
Calbovista subsculpta
Calocera cornea
Calocybe fulgens
Calvatia gigantea
Calvatia cyathiformis
Camarophyllus pratensis
Camarophyllus subviolaceus
Cantharellus cibarius
Cantharellus cinnabarinus
Cantharellus lutescens
Catathelasma ventricosa
Catenaria anguillulae
Ceratocystis fimbriata
Chalciporus piperatus
Chlorencoelia versiformis
Chlorociboria aeruginascens
Chondromyces apiculatus
Chondromyces crocatus
Chroogomphus rutilus
Chrysomphalina aurantiaca
Chrysomphalina chrysophylla
Cladosporium sphaerospermum
Cladosporium cladosporioides
Clavaria fumosa
Clavaria purpurea
Clavaria rosea
Clavaria vermicularis
Clavariadelphus ligula
Clavariadelphus pistillaris
Clavariadelphus sachalinensis
Clavariadelphus truncatus
Clavicorona pyxidata
Clavulina amethystina
Clavulina cristata
Clavulinopsis corniculata
Clavulinopsis fusiformis
Climacodon septentrionale
Clitopilus prunulus
Clonostachys rosea
Cochliobolus sativus
Cochlonema verrucosum
Colletotrichum graminicola
Coltricia cinnamomea
Coltricia montagnei
Coltricia perennis
Conocybe albipes
Conocybe filaris
Coprinus atramentarius
Coprinus comatus
Coprinus disseminatus
Coprinus micaceus
Coprinus plicatilis
Coprinus quadrifidus
Cordyceps capitata
Cordyceps militaris
Cortinarius acutis
Cortinarius armillatus
Cortinarius cinnamomeus
Cortinarius magellanicus
Cortinarius mucosus
Cortinarius mutabilis
Cortinarius phoenicious
Cortinarius pholideus
Cortinarius vanduzerensis
Cortinarius violaceus
Cotylidia diaphana
Craterellus cornucopioides
Craterellus fallax
Craterellus tubaeformis
Creopus gelatinosus
Crepidotus applanatus
Crinipellis piceae
Crinipellis setipes
Crucibulum laeve
Cudonia monticola
Cunninghamella echinulata
Curvularia lunata
Cyathus olla
Cyathus stercoreus
Cyathus striatus
Cystoderma amianthinum
Cystoderma fallax
Dacrymyces palmatus
Dactylella passalopaga
Dactylellina candida
Dactyllelina candida
Daedaleopsis confragosa
Dactylellina copepodii
Daldinia concentrica
Dasyscyphus sulphureus
Dasyscyphus virgineus
Dictyophora duplicata
Dictyostelium discoideum
Drechmeria coniospora
Drechslerella anchonia
Drechslerella brochopaga
Drechslerellas dactyloides
Entoloma abortivum
Entoloma hochstetteri
Entoloma lividum
Entomophthora muscae
Entomosporium mespili
Epichloe typhina
Eurotium chevalieri
Erysiphe graminis
Exidia glandulosa
Favolaschia calocera
Flammulina velutipes
Fomes fomentarius
Fomitopsis pinicola
Galerina autumnalis
Galiella rufa
Ganoderma applanatum
Ganoderma lucidum
Gastrocybe lateritia
Geastrum fimbriatum
Geastrum pectinatum
Geastrum quadrifidum
Geastrum saccatum
Geastrum triplex
Geoglossum difforme
Gloeophyllum sepiarium
Gomphidius subroseus
Gomphus floccosus
Gomphus clavatus
Gymnopilus luteofolius
Gymnopilus spectabilis
Gymnopus acervatus
Gymnopus confluens
Gymnopus dryophilus
Gyrodon merulioides
Gyroporus cyanescens
Gyromitra esculenta
Gyromitra infula
Haptoglossa mirabilis
Haptospora appendiculata
Harposporium anguillulae
Harposporium spirosporum
Helicocephalum oligosporum
Helicodendron tubulosum
Helvella coria
Helvella crispa
Helvella lacunosa
Helvella leoprina
Helvella macropus
Hericium abietis
Hericium americanum
Heterotextus alpinus
Hydnellum aurantiacum
Hydnellum caeruleum
Hydnellum concrescens
Hydnellum peckii
Hydnellum suaveolans
Hydnum umbilicatum
Hygrocybe acutoconica
Hygrocybe cantharellus
Hygrocybe ceracea
Hygrophorus chrysodon
Hygrocybe coccinea
Hygrocybe conica
Hygrophorua eburneus
Hygrophorus erubescens
Hygrocybe flavescens
Hygrophorus fuligineus
Hygrophorus hypothejus
Hygrocybe laeta
Hygrocybe marginata
Hygrocybe miniata
Hygrocybe nitida
Hygrocybe psittacina
Hygrocybe punicea
Hygrocybe virginea
Hygrocybe vitellina
Hygrophoropsis aurantiaca
Hygrophoropsis olida
Hygrophorus agathosomas
Hygrophorus bakerensis
Hygrophorus russula
Hygrophorus olivaceoalbus
Hygrophorus pratensis
Hygrophorus pudorinus
Hygrophorus speciosus
Hygrophorus subviolacea
Hymenoscyphus fructigenus
Hymenoscyphus subcarneus
HYPHAE revisited
