Accipiter cooperii	Cooper's Hawk
Accipiter gentilis	Northern Goshawk
Accipiter striatus	Sharp-shinned Hawk
Aquila chrysaetos	Golden Eagle
Buteo jamaicensis	Red-tailed Hawk
Buteo lagopus	Rough-legged Hawk
Buteo lineatus	Red-shouldered Hawk
Buteo platypterus	Broad-winged Hawk
Buteo regalis	Ferruginous Hawk
Buteo swainsoni	Swainson's Hawk
Circus cyaneus	Northern Harrier
Elanoides forficatus	Swallow-tailed Kite
Haliaeetus leucocephalus	Bald Eagle
Ictinia mississippiensis	Mississippi Kite
Pandion haliaetus	Osprey
Eremophila alpestris	Horned Lark
Ceryle alcyon	Belted Kingfisher
Alca torda	Razorbill
Alle alle	Dovekie
Brachyramphus perdix	Long-billed Murrelet
Cepphus grylle	Black Guillemot
Fratercula arctica	Atlantic Puffin
Synthliboramphus antiquus	Ancient Murrelet
Uria lomvia	Thick-billed Murre
Aix sponsa	Wood Duck
Anas acuta	Northern Pintail
Anas americana	American Wigeon
Anas clypeata	Northern Shoveler
Anas crecca	Green-winged Teal
Anas cyanoptera	Cinnamon Teal
Anas discors	Blue-winged Teal
Anas penelope	Eurasian Wigeon
Anas platyrhynchos	Mallard
Anas querquedula	Garganey
Anas rubripes	American Black Duck
Anas strepera	Gadwall
Anser albifrons	Greater White-fronted Goose
Aythya affinis	Lesser Scaup
Aythya americana	Redhead
Aythya collaris	Ring-necked Duck
Aythya fuligula	Tufted Duck
Aythya marila	Greater Scaup
Aythya valisineria	Canvasback
Branta bernicla	Brant
Branta canadensis	Canada Goose
Branta hutchinsii	Cackling Goose
Bucephala albeola	Bufflehead
Bucephala clangula	Common Goldeneye
Bucephala islandica	Barrow's Goldeneye
Chen caerulescens	Snow Goose
Chen rossii	Ross's Goose
Clangula hyemalis	Long-tailed Duck
Cygnus buccinator	Trumpeter Swan
Cygnus columbianus	Tundra Swan
Cygnus olor	Mute Swan
Dendrocygna autumnalis	Black-bellied Whistling-Duck
Dendrocygna bicolor	Fulvous Whistling-Duck
Histrionicus histrionicus	Harlequin Duck
Lophodytes cucullatus	Hooded Merganser
Melanitta fusca	White-winged Scoter
Melanitta nigra	Black Scoter
Melanitta perspicillata	Surf Scoter
Mergellus albellus	Smew
Mergus merganser	Common Merganser
Mergus serrator	Red-breasted Merganser
Oxyura jamaicensis	Ruddy Duck
Somateria mollissima	Common Eider
Somateria spectabilis	King Eider
Anhinga anhinga	Anhinga
Chaetura pelagica	Chimney Swift
Streptoprocne zonaris	White-collared Swift
Ardea alba	Great Egret
Ardea herodias	Great Blue Heron
Botaurus lentiginosus	American Bittern
Bubulcus ibis	Cattle Egret
Butorides virescens	Green Heron
Egretta caerulea	Little Blue Heron
Egretta thula	Snowy Egret
Egretta tricolor	Tricolored Heron
Ixobrychus exilis	Least Bittern
Nyctanassa violacea	Yellow-crowned Night-Heron
Nycticorax nycticorax	Black-crowned Night-Heron
Bombycilla cedrorum	Cedar Waxwing
Bombycilla garrulus	Bohemian Waxwing
Caprimulgus carolinensis	Chuck-will's-widow
Caprimulgus vociferus	Whip-poor-will
Chordeiles acutipennis	Lesser Nighthawk
Chordeiles minor	Common Nighthawk
Phalaenoptilus nuttallii	Common Poorwill
Cardinalis cardinalis	Northern Cardinal
Passerina amoena	Lazuli Bunting
Passerina caerula	Blue Grosbeak
Passerina ciris	Painted Bunting
Passerina cyanea	Indigo Bunting
Passerina versicolor	Varied Bunting
Pheucticus ludovicianus	Rose-breasted Grosbeak
Pheucticus melanocephalus	Black-headed Grosbeak
Spiza americana	Dickcissel
Cathartes aura	Turkey Vulture
Coragyps atratus	Black Vulture
Certhia americana	Brown Creeper
Charadrius alexandrinus	Snowy Plover
Charadrius melodus	Piping Plover
Charadrius mongolus	Lesser Sand-Plover
Charadrius semipalmatus	Semipalmated Plover
Charadrius vociferus	Killdeer
Charadrius wilsonia	Wilson's Plover
Pluvialis dominica	American Golden-Plover
Pluvialis squatarola	Black-bellied Plover
Mycteria americana	Wood Stork
Columba livia	Rock Pigeon
Columbina inca	Inca Dove
Columbina passerina	Common Ground-Dove
Ectopistes migratorius	Passenger Pigeon
Patagioenas fasciata	Band-tailed Pigeon
Streptopelia decaocto	Eurasian Collared-Dove
Zenaida asiatica	White-winged Dove
Zenaida macroura	Mourning Dove
Corvus brachyrhynchos	American Crow
Corvus corax	Common Raven
Corvus monedula	Eurasian Jackdaw
Corvus ossifragus	Fish Crow
Cyanocitta cristata	Blue Jay
Nucifraga columbiana	Clark's Nutcracker
Perisoreus canadensis	Gray Jay
Pica hudsonia	Black-billed Magpie
Coccyzus americanus	Yellow-billed Cuckoo
Coccyzus erythropthalmus	Black-billed Cuckoo
Crotophaga sulcirostris	Groove-billed Ani
Aimophila aestivalis	Bachman's Sparrow
Aimophila cassinii	Cassin's Sparrow
Ammodramus bairdii	Baird's Sparrow
Ammodramus henslowii	Henslow's Sparrow
Ammodramus leconteii	Le Conte's Sparrow
Ammodramus nelsoni	Nelson's Sharp-tailed Sparrow
Ammodramus savannarum	Grasshopper Sparrow
Amphispiza bilineata	Black-throated Sparrow
Calamospiza melanocorys	Lark Bunting
Calcarius lapponicus	Lapland Longspur
Calcarius ornatus	Chestnut-collared Longspur
